,bio1,bio12,dors.PC1,vent.PC1,Habitat,scaled_precip,scaled_temp,taxon
Crani_obsol_xxx,18.9,1656,0.0462,-0.0154,Intermediate,0.1675,0.0689,Crani_obsol_xxx
Anabc_licht_xxx,20.5,1679,0.035,0.0706,Forest,0.1956,0.3208,Anabc_licht_xxx
Cichl_leuco_xxx,18,1680,-0.0423,0.0512,Intermediate,0.1968,-0.0728,Cichl_leuco_xxx
Helio_conta_xxx,16.35,1685,-0.0155,-0.0069,Intermediate,0.203,-0.3326,Helio_conta_xxx
Synda_stria_xxx,21.05,1691.5,-0.0668,-0.0861,Forest,0.2109,0.4074,Synda_stria_xxx
Phily_atric_xxx,20.3,1709,-0.0364,-0.0964,Forest,0.2323,0.2893,Phily_atric_xxx
Xiphc_albic_xxx,18,1709,-0.0403,-0.0058,Forest,0.2323,-0.0728,Xiphc_albic_xxx
Synal_ciner_xxx,18.7,1712,-0.066,-0.1865,Forest,0.236,0.0374,Synal_ciner_xxx
Sitta_grise_gri,22.8,1737,0.0535,-0.0835,Forest,0.2666,0.683,Sitta_grise_gri
Crani_curta_cis,20.15,1739,0.0007,-0.1232,Intermediate,0.2691,0.2657,Crani_curta_cis
Rorai_adust_xxx,19.1,1778,-0.1205,-0.0951,Forest,0.3168,0.1004,Rorai_adust_xxx
Lepta_strio_xxx,15.25,1784.5,-0.0048,0.0289,Forest,0.3248,-0.5058,Lepta_strio_xxx
Phily_rufum_xxx,19.4,1791,0.0423,-0.0129,Forest,0.3327,0.1476,Phily_rufum_xxx
Dendp_picus_xxx,26.4,1826.5,-0.0211,-0.0637,Intermediate,0.3762,1.2498,Dendp_picus_xxx
Premn_guttu_xxx,17,1827,-0.085,-0.0852,Forest,0.3768,-0.2303,Premn_guttu_xxx
Lepid_falci_xxx,18.1,1836,0.0245,0.0997,Forest,0.3878,-0.0571,Lepid_falci_xxx
Thrie_flamm_xxx,15.75,1852,-0.038,-0.2317,Forest,0.4074,-0.4271,Thrie_flamm_xxx
Cincl_pabst_xxx,15.2,1853,0.0236,0.1628,Nonforest,0.4086,-0.5137,Cincl_pabst_xxx
Xiphr_ocell_chu,22.3,1853,-0.0229,-0.1291,Forest,0.4086,0.6042,Xiphr_ocell_chu
Sipto_stria_xxx,16.85,1857.5,-0.0239,-0.1082,Intermediate,0.4141,-0.2539,Sipto_stria_xxx
Phace_eryth_xxx,21.4,1902,-0.0048,-0.1369,Intermediate,0.4686,0.4625,Phace_eryth_xxx
Synal_caban_xxx,21.8,1906,-0.0574,-0.219,Intermediate,0.4735,0.5255,Synal_caban_xxx
Thrie_virga_xxx,17.4,1909,-0.086,-0.1628,Forest,0.4772,-0.1673,Thrie_virga_xxx
Dendo_picum_xxx,23.25,1921.5,-0.0168,-0.1156,Forest,0.4925,0.7538,Dendo_picum_xxx
Hylex_perro_uni,26.2,2059.5,-0.017,-0.0989,Forest,0.6614,1.2183,Hylex_perro_uni
Campy_procu_prc,26.1,2078,-0.017,-0.1682,Forest,0.6841,1.2026,Campy_procu_prc
Dendo_hoffm_xxx,27,2139.5,-0.0187,-0.1758,Forest,0.7594,1.3443,Dendo_hoffm_xxx
Crani_muell_xxx,27.5,2148,-0.06,-0.1292,Intermediate,0.7698,1.423,Crani_muell_xxx
Xiphr_spixi_xxx,25.45,2150.5,0.0112,-0.0811,Forest,0.7728,1.1002,Xiphr_spixi_xxx
Denda_homoc_xxx,25,2151.5,0.0145,-0.1997,Forest,0.7741,1.0294,Denda_homoc_xxx
Lepid_affin_xxx,17,2181,0.021,-0.0627,Forest,0.8102,-0.2303,Lepid_affin_xxx
Synal_gujan_xxx,25.4,2183,-0.0174,0.1628,Forest,0.8126,1.0923,Synal_gujan_xxx
Asthe_morei_xxx,12,2186.5,-0.1096,-0.0546,Nonforest,0.8169,-1.0176,Asthe_morei_xxx
Hylex_stres_xxx,25.35,2189,-0.0332,-0.1061,Forest,0.82,1.0845,Hylex_stres_xxx
Lepid_albol_fus,25.3,2212.5,-0.0007,-0.1049,Intermediate,0.8487,1.0766,Lepid_albol_fus
Autom_parae_xxx,25.65,2218,-0.038,0.1963,Forest,0.8555,1.1317,Autom_parae_xxx
Xiphr_parda_xxx,26.4,2218,-0.0167,-0.1324,Forest,0.8555,1.2498,Xiphr_parda_xxx
Xiphr_gutta_xxx,25.5,2233,-0.0312,-0.047,Forest,0.8738,1.1081,Xiphr_gutta_xxx
Synda_rorai_xxx,19.2,2255,-0.0398,-0.1362,Forest,0.9008,0.1161,Synda_rorai_xxx
Scler_albig_xxx,21.6,2260,-0.0708,-0.1658,Forest,0.9069,0.494,Scler_albig_xxx
Synal_cherr_xxx,25.2,2263,0.0247,-0.0907,Forest,0.9106,1.0608,Synal_cherr_xxx
Synal_moest_xxx,20.9,2286,-0.0924,-0.2853,Intermediate,0.9387,0.3838,Synal_moest_xxx
Denda_merul_xxx,25.6,2298,-0.0619,-0.1935,Forest,0.9534,1.1238,Denda_merul_xxx
Dendp_kiene_xxx,27.1,2308,-0.0427,-0.1022,Intermediate,0.9657,1.36,Dendp_kiene_xxx
