,taxon,back_red,bell_red,brea_red,crow_red,rump_red,tail_red,thro_red,back_bright,bell_bright,brea_bright,crow_bright,rump_bright,tail_bright,thro_bright,bio1,bio12,scaled_temp,scaled_precip,Habitat
Autom_parae_xxx,Autom_parae_xxx,0.019394545,0.054748104,0.05336879,0.014815252,0.031516442,0.038251098,0.084676889,0.263880895,0.461216788,0.502298844,0.21487408,0.261192474,0.310234458,0.672664431,25.65,2218,1.140474845,0.857715591,Forest
Autom_rufip_xxx,Autom_rufip_xxx,0.024096571,0.051067405,0.057630525,0.026451357,0.032020989,0.027725818,0.064852424,0.242387211,0.360218546,0.401062797,0.234390362,0.265476948,0.282915127,0.406108156,25.3,2523.5,1.085198957,1.233172917,Forest
Autom_subul_sub,Autom_subul_sub,0.020879987,0.047875248,0.061653562,0.014971456,0.029199715,0.035530622,0.050185739,0.232226672,0.35733515,0.39613673,0.216221432,0.246097774,0.291775238,0.350435651,24.1,2989,0.895681626,1.805269105,Forest
Campy_falcu_xxx,Campy_falcu_xxx,0.027353742,0.042724787,0.044647826,0.013126907,0.031059982,0.025348817,0.064031009,0.25412481,0.304111127,0.313797371,0.202070679,0.260375551,0.267238502,0.453883007,18.4,1626.5,-0.004525694,0.1307663,Forest
Campy_procu_prc,Campy_procu_prc,0.02752724,0.047797176,0.037849329,0.01771223,0.042216946,0.029636239,0.046999262,0.255122503,0.334109723,0.303370261,0.242914814,0.290655631,0.287194181,0.377115152,26.1,2078,1.211543844,0.685656587,Forest
Campy_pusil_xxx,Campy_pusil_xxx,0.022499732,0.035148024,0.032262463,0.016142198,0.032647949,0.026299177,0.043970807,0.243946987,0.299369781,0.283923284,0.227468766,0.256483943,0.284145147,0.324305106,19.9,2973.5,0.232370969,1.786219715,Forest
Campy_troch_zar,Campy_troch_zar,0.028337764,0.0440739,0.035747816,0.017574371,0.043404159,0.032617288,0.051338672,0.27815265,0.328619962,0.303589585,0.233761204,0.29193329,0.292057845,0.393434123,24.25,1430,0.919371292,-0.110730802,Forest
Certh_cinam_xxx,Certh_cinam_xxx,0.034119468,0.114394663,0.101411496,0.031232789,0.043480696,0.035739589,0.087512263,0.274027073,0.748493995,0.666950185,0.238611378,0.332704364,0.292963502,0.723822405,25.5,1409,1.116785178,-0.136539652,Nonforest
Certh_muste_xxx,Certh_muste_xxx,0.046807043,0.085086744,0.10995803,0.045511951,0.047359008,0.040103035,0.080020697,0.29580297,0.72424441,0.730337905,0.267908303,0.364274726,0.288046349,0.644358916,26.4,2572,1.258923176,1.292779072,Nonforest
Certo_stict_xxx,Certo_stict_xxx,0.02269787,0.039602102,0.031343871,0.013441799,0.029489032,0.032579293,0.035188862,0.250092202,0.341709722,0.291917477,0.227756339,0.276440406,0.306823038,0.318684329,26.3,2808,1.243130065,1.582821393,Forest
